# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,
http_backend_backend_py04,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,28,2,,0,,2,0,,0,L7OK,200,4,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11425,,http,,,,,,,,
http_backend_backend_py04,BACKEND,0,0,0,0,1800,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,28,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_py03,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,4,4,1704488,0,,1,29,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11235,,http,,,,,,,,
http_backend_backend_py03,frontB.server,0,0,0,1,,1,463,211,,0,,0,0,0,0,UP,1,1,0,3,3,988846,0,,1,29,2,,1,,2,0,,1,L7OK,200,1,0,1,0,0,0,0,,,,,0,0,,,,,1209291,HTTP content check matched,,0,0,1,1,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11235,,http,,,,,,,,
http_backend_backend_py03,BACKEND,0,0,0,1,1800,1,463,211,0,0,,0,0,0,0,UP,2,2,0,,1,3176777,834,,1,29,0,,1,,1,0,,1,,,,0,1,0,0,0,0,,,,1,0,0,0,0,0,0,1209291,,,0,0,1,1,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_py02,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,2,2,3106335,0,,1,30,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11495,,http,,,,,,,,
http_backend_backend_py02,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,30,2,,0,,2,0,,0,L7OK,200,2,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11495,,http,,,,,,,,
http_backend_backend_py02,BACKEND,0,0,0,0,900,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,30,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_py01,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,2,2,3106335,0,,1,31,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11265,,http,,,,,,,,
http_backend_backend_py01,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,31,2,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11265,,http,,,,,,,,
http_backend_backend_py01,BACKEND,0,0,0,0,1800,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,31,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_pd,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,13,13,519454,768,,1,32,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11215,,http,,,,,,,,
http_backend_backend_pd,frontB.server,0,0,0,1,,1,456,236,,0,,0,0,0,0,UP,1,1,0,14,14,519614,33,,1,32,2,,1,,2,0,,1,L7OK,200,78,0,1,0,0,0,0,,,,,0,0,,,,,1209291,HTTP content check matched,,0,0,1,1,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11215,,http,,,,,,,,
